,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
percentage_of_perfectly_fitting_traces,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
average_trace_fitness,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
precision,1,0.933333333,0.967741935,1,0.927884615,0.96,0.934782609,1,0.966480447,0.990566038,0.914641375,0.881690141,1,0.956521739,1,0.985893417,1,0.971280057,1,1
f-mesure,1,0.965517241,0.983606557,1,0.962593516,0.979591837,0.966292135,1,0.982954545,0.995260664,0.955417957,0.937125749,1,0.977777778,1,0.992896606,1,0.985430815,1,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
no_xor,,,,,,,,,,,,,,,,,,,,
xor_simple ,d,,,,,,,,,,,,,,,,,,,
xor_complex,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
no_loop,,,,,,,,,,,,,,,,,,,,
loop_simple,,,,,,,,,,,,,,,,,,,,
loop_complex,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
high sequential,,,,,,,,,,,,,,,,,,,,
high concurrency,,,,,,,,,,,,,,,,,,,,
complex partial orders,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
very clear process description,,,,,,,,,,,,,,,,,,,,
vagueness ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
number of activities in groud truth,8,16,11,10,11,10,13,12,13,9,12,10,9,10,10,24,25,26,8,13
number of words in process description,88,97,94,98,90,92,85,92,97,80,87,93,99,126,79,219,196,230,109,162
number of chars in process description,578,629,601,659,573,578,565,589,644,525,605,652,637,837,556,1457,1327,1567,653,955
